source_row_number,field_name,issue_code,raw_value,detail
868,Over and Above - Percentage Awarded,merit_plus_over_and_above_exceeds_50_rule,20,merit_pct=40.0; over_and_above_pct=20.0
873,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
873,School,school_missing,,School is blank in the source export
881,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
881,School,school_missing,,School is blank in the source export
881,School,school_missing_undergraduate,,School is blank for an undergraduate application
886,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
891,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
891,School,school_missing,,School is blank in the source export
896,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
896,School,school_missing,,School is blank in the source export
896,Father Income Document,likely_lbp_without_currency_marker,1333333,father_income_document=1333333.0; currency_signal=none; currency_guess=likely_lbp_unmarked
897,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
897,School,school_missing,,School is blank in the source export
899,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_regular'
900,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
905,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
905,School,school_missing,,School is blank in the source export
905,School,school_missing_undergraduate,,School is blank for an undergraduate application
907,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
910,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
910,School,school_missing,,School is blank in the source export
924,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
924,School,school_missing,,School is blank in the source export
927,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
929,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
932,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
932,School,school_missing,,School is blank in the source export
935,Loans,large_monetary_value_review,"Reason: housing
Source: credit libanais
Mortgaged Asset: House
Start Date: 2010-10-10
End Date: 2025-11-10
Total Amount: 975,000,000 LBP
Monthly Payment: 6,000,000 LBP
Remaining Balance: 85,000,000 LBP
Remaining Years: 1",loans_total_amount=975000000.0; currency_signal=lbp; currency_guess=lbp
935,Loans,large_monetary_value_review,"Reason: housing
Source: credit libanais
Mortgaged Asset: House
Start Date: 2010-10-10
End Date: 2025-11-10
Total Amount: 975,000,000 LBP
Monthly Payment: 6,000,000 LBP
Remaining Balance: 85,000,000 LBP
Remaining Years: 1",loans_total_monthly_payment=6000000.0; currency_signal=lbp; currency_guess=lbp
939,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
939,School,school_missing,,School is blank in the source export
940,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
940,School,school_missing,,School is blank in the source export
942,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
945,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
945,School,school_missing,,School is blank in the source export
947,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
947,School,school_missing,,School is blank in the source export
949,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
949,School,school_missing,,School is blank in the source export
957,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
957,School,school_missing,,School is blank in the source export
962,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
962,School,school_missing,,School is blank in the source export
964,Loans,likely_lbp_without_currency_marker,"Reason: To buy a house
Source: Blom Bank
Mortgaged Asset: house
Start Date: 2010-05-27
End Date: 2040-04-27
Total Amount: 360000000
Monthly Payment: 1150000
Remaining Balance: ~180000000
Remaining Years: 16",loans_total_amount=360000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
964,Loans,likely_lbp_without_currency_marker,"Reason: To buy a house
Source: Blom Bank
Mortgaged Asset: house
Start Date: 2010-05-27
End Date: 2040-04-27
Total Amount: 360000000
Monthly Payment: 1150000
Remaining Balance: ~180000000
Remaining Years: 16",loans_total_remaining_balance=180000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
965,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
965,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'awarded_donor_funded_scholarship'
965,School,school_missing,,School is blank in the source export
965,School,school_missing_undergraduate,,School is blank for an undergraduate application
966,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
966,School,school_missing,,School is blank in the source export
968,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
970,Loans,large_monetary_value_review,"Reason: Appartment purchase
Source: Lebanese National Housing Corporation
Mortgaged Asset: salaries as state officials
Start Date: 2012-08-18
End Date: 2026-09-05
Total Amount: 245000000 L.L.
Monthly Payment: 1910000L.L.
Remaining Balance: 42009406
Remaining Years: 2",loans_total_amount=245000000.0; currency_signal=lbp; currency_guess=lbp
972,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
972,School,school_missing,,School is blank in the source export
977,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
977,School,school_missing,,School is blank in the source export
992,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
992,School,school_missing,,School is blank in the source export
992,School,school_missing_undergraduate,,School is blank for an undergraduate application
993,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
993,School,school_missing,,School is blank in the source export
